Auction Lot,Vendor,Forecasted Qty,  Initial Quote for BOC  ,  Target Price  ,  Pre-Bid Price  ,  Bid Price  ,  Target Spend  ,  Current Spend  ,  Pre-Bid Spend  , Bid Spend ,% Delta to Target
Lot 2,Vendor H,12,16409.25,14276.05,14995.53,14473.8,171312.57,196911.0,179946.36,173685.6,1.40%
Lot 2,Vendor H,6,31977.0,27819.99,30378.15,29452.5,166919.94,191862.0,182268.9,176715.0,5.90%
Lot 2,Vendor H,6,31977.0,27819.99,30378.15,29452.5,166919.94,191862.0,182268.9,176715.0,5.90%
Lot 2,Vendor H,30,6311.25,5490.79,5974.65,5764.28,164723.62,189337.5,179239.5,172928.25,5.00%
Lot 2,Vendor H,30,6311.25,5490.79,5974.65,5764.28,164723.62,189337.5,179239.5,172928.25,5.00%
Lot 2,Vendor H,24,13295.7,11301.35,12496.27,12033.45,271232.28,319096.8,299910.6,288802.8,6.50%
Lot 2,Vendor H,6,21879.0,19034.73,20827.12,20027.7,114208.38,131274.0,124962.75,120166.2,5.20%
Lot 2,Vendor H,4,31977.0,27819.99,30378.15,29452.5,111279.96,127908.0,121512.6,117810.0,5.90%
Lot 2,Vendor H,6,19354.5,16838.42,18327.87,18327.87,101030.49,116127.0,109967.22,109967.22,8.80%
Lot 2,Vendor H,6,19354.5,16838.42,18327.87,18327.87,101030.49,116127.0,109967.22,109967.22,8.80%
Lot 2,Vendor H,20,6311.25,5490.79,5974.65,5764.28,109815.75,126225.0,119493.0,115285.5,5.00%
Lot 2,Vendor H,18,13295.7,11301.35,12496.27,12033.45,203424.21,239322.6,224932.95,216602.1,6.50%
Lot 2,Vendor H,18,13295.7,11301.35,12496.27,12033.45,203424.21,239322.6,224932.95,216602.1,6.50%
Lot 2,Vendor H,4064,25.25,21.46,22.72,21.46,87206.33,102595.68,92336.11,87206.33,0.00%
Lot 2,Vendor H,6,16409.25,14276.05,14995.53,14473.8,85656.29,98455.5,89973.18,86842.8,1.40%
Lot 2,Vendor H,6,16409.25,14276.05,14995.53,14473.8,85656.29,98455.5,89973.18,86842.8,1.40%
Lot 2,Vendor H,16,5469.75,4649.29,5133.15,4964.85,74388.6,87516.0,82130.4,79437.6,6.80%
Lot 2,Vendor H,2000,42.08,35.76,38.71,37.45,71527.5,84150.0,77418.0,74893.5,4.70%
Lot 2,Vendor H,4,19354.5,16838.42,18327.87,18327.87,67353.66,77418.0,73311.48,73311.48,8.80%
Lot 2,Vendor H,3048,25.25,21.46,22.72,21.46,65404.75,76946.76,69252.08,65404.75,0.00%
Lot 2,Vendor H,3048,25.25,21.46,22.72,21.46,65404.75,76946.76,69252.08,65404.75,0.00%
Lot 2,Vendor H,880,79.94,67.95,75.73,73.21,59796.99,70349.4,66646.8,64425.24,7.70%
Lot 2,Vendor H,12,13295.7,11301.35,12496.27,12033.45,135616.14,159548.4,149955.3,144401.4,6.50%
Lot 2,Vendor H,4,16409.25,14276.05,14995.53,14473.8,57104.19,65637.0,59982.12,57895.2,1.40%
Lot 2,Vendor H,12,5469.75,4649.29,5133.15,4964.85,55791.45,65637.0,61597.8,59578.2,6.80%
Lot 2,Vendor H,12,5469.75,4649.29,5133.15,4964.85,55791.45,65637.0,61597.8,59578.2,6.80%
Lot 2,Vendor H,16,4039.2,3433.32,3828.83,3828.83,54933.12,64627.2,61261.2,61261.2,11.50%
Lot 2,Vendor H,1500,42.08,35.76,38.71,37.45,53645.62,63112.5,58063.5,56170.12,4.70%
Lot 2,Vendor H,1500,42.08,35.76,38.71,37.45,53645.62,63112.5,58063.5,56170.12,4.70%
Lot 2,Vendor H,20,2945.25,2503.46,2692.8,2692.8,50069.25,58905.0,53856.0,53856.0,7.60%
Lot 2,Vendor H,2032,25.25,21.46,22.72,21.46,43603.16,51297.84,46168.06,43603.16,0.00%
Lot 2,Vendor H,12,4039.2,3433.32,3828.83,3828.83,41199.84,48470.4,45945.9,45945.9,11.50%
Lot 2,Vendor H,12,4039.2,3433.32,3828.83,3828.83,41199.84,48470.4,45945.9,45945.9,11.50%
Lot 2,Vendor H,16,3029.4,2574.99,2819.03,2692.8,41199.84,48470.4,45104.4,43084.8,4.60%
Lot 2,Vendor H,16,2776.95,2360.41,2608.65,2524.5,37766.52,44431.2,41738.4,40392.0,7.00%
Lot 2,Vendor H,15,2945.25,2503.46,2692.8,2692.8,37551.94,44178.75,40392.0,40392.0,7.60%
Lot 2,Vendor H,15,2945.25,2503.46,2692.8,2692.8,37551.94,44178.75,40392.0,40392.0,7.60%
Lot 2,Vendor H,2,21879.0,19034.73,20827.12,20027.7,38069.46,43758.0,41654.25,40055.4,5.20%
Lot 2,Vendor H,2,21879.0,19034.73,20827.12,20027.7,38069.46,43758.0,41654.25,40055.4,5.20%
Lot 2,Vendor H,8,5469.75,4649.29,5133.15,4964.85,37194.3,43758.0,41065.2,39718.8,6.80%
Lot 2,Vendor H,1000,42.08,35.76,38.71,37.45,35763.75,42075.0,38709.0,37446.75,4.70%
Lot 2,Vendor H,3,13295.7,11301.35,12496.27,12033.45,33904.04,39887.1,37488.83,36100.35,6.50%
Lot 2,Vendor H,12,3281.85,2789.57,3079.89,3079.89,33474.87,39382.2,36958.68,36958.68,10.40%
Lot 2,Vendor H,12,3029.4,2574.99,2819.03,2692.8,30899.88,36352.8,33828.3,32313.6,4.60%
Lot 2,Vendor H,12,3029.4,2574.99,2819.03,2692.8,30899.88,36352.8,33828.3,32313.6,4.60%
Lot 2,Vendor H,12,2776.95,2360.41,2608.65,2524.5,28324.89,33323.4,31303.8,30294.0,7.00%
Lot 2,Vendor H,12,2776.95,2360.41,2608.65,2524.5,28324.89,33323.4,31303.8,30294.0,7.00%
Lot 2,Vendor H,8,4123.35,3504.85,3912.97,3786.75,28038.78,32986.8,31303.8,30294.0,8.00%
Lot 2,Vendor H,8,4039.2,3433.32,3828.83,3828.83,27466.56,32313.6,30630.6,30630.6,11.50%
Lot 2,Vendor H,1,31977.0,27819.99,30378.15,29452.5,27819.99,31977.0,30378.15,29452.5,5.90%
Lot 2,Vendor H,1,31977.0,27180.45,30378.15,29452.5,27180.45,31977.0,30378.15,29452.5,8.40%
Lot 2,Vendor H,5,6311.25,5364.56,5974.65,5764.28,26822.81,31556.25,29873.25,28821.38,7.50%
Lot 2,Vendor H,4000,7.57,6.44,6.98,6.73,25749.9,30294.0,27937.8,26928.0,4.60%
Lot 2,Vendor H,9,3281.85,2789.57,3079.89,3079.89,25106.15,29536.65,27719.01,27719.01,10.40%
Lot 2,Vendor H,9,3281.85,2789.57,3079.89,3079.89,25106.15,29536.65,27719.01,27719.01,10.40%
Lot 2,Vendor H,10,2945.25,2503.46,2692.8,2692.8,25034.62,29452.5,26928.0,26928.0,7.60%
Lot 2,Vendor H,5,6311.25,5490.79,5974.65,5764.28,27453.94,31556.25,29873.25,28821.38,5.00%
Lot 2,Vendor H,8,3281.85,2789.57,3071.47,2861.1,22316.58,26254.8,24571.8,22888.8,2.60%
Lot 2,Vendor H,6,4123.35,3504.85,3912.97,3786.75,21029.08,24740.1,23477.85,22720.5,8.00%
Lot 2,Vendor H,6,4123.35,3504.85,3912.97,3786.75,21029.08,24740.1,23477.85,22720.5,8.00%
Lot 2,Vendor H,8,3029.4,2574.99,2819.03,2692.8,20599.92,24235.2,22552.2,21542.4,4.60%
Lot 2,Vendor H,3000,7.57,6.44,6.98,6.73,19312.42,22720.5,20953.35,20196.0,4.60%
Lot 2,Vendor H,3000,7.57,6.44,6.98,6.73,19312.42,22720.5,20953.35,20196.0,4.60%
Lot 2,Vendor H,8,2776.95,2360.41,2608.65,2524.5,18883.26,22215.6,20869.2,20196.0,7.00%
Lot 2,Vendor H,20,1009.8,858.33,925.65,883.58,17166.6,20196.0,18513.0,17671.5,2.90%
Lot 2,Vendor H,6,3281.85,2789.57,3071.47,2861.1,16737.44,19691.1,18428.85,17166.6,2.60%
Lot 2,Vendor H,6,3281.85,2789.57,3071.47,2861.1,16737.44,19691.1,18428.85,17166.6,2.60%
Lot 2,Vendor H,6,3281.85,2789.57,3079.89,3079.89,16737.44,19691.1,18479.34,18479.34,10.40%
Lot 2,Vendor H,1,19354.5,16838.42,18327.87,18327.87,16838.42,19354.5,18327.87,18327.87,8.80%
Lot 2,Vendor H,1,19354.5,16451.33,18327.87,18327.87,16451.33,19354.5,18327.87,18327.87,11.40%
Lot 2,Vendor H,16,1093.95,929.86,1009.8,967.73,14877.72,17503.2,16156.8,15483.6,4.10%
Lot 2,Vendor H,3,13295.7,11301.35,12496.27,12033.45,33904.04,39887.1,37488.83,36100.35,6.50%
