Auction Lot,Vendor,Forecasted Qty,  Initial Quote for BOC  ,  Target Price  ,  Pre-Bid Price  ,  Bid Price  ,  Target Spend  ,  Current Spend  ,  Pre-Bid Spend  , Bid Spend ,% Delta to Target
Lot 1,Vendor G,4,9937.33,8148.61,8148.61,8148.61,32594.45,39749.33,32594.45,32594.45,0.00%
Lot 1,Vendor G,6,6525.17,5350.64,3264.32,3264.32,32103.82,39151.01,19585.93,19585.93,-39.00%
Lot 1,Vendor G,6,6525.17,5350.64,3264.32,3264.32,32103.82,39151.01,19585.93,19585.93,-39.00%
Lot 1,Vendor G,1,38793.96,31811.05,27769.5,27769.5,31811.05,38793.96,27769.5,27769.5,-12.70%
Lot 1,Vendor G,8,4825.03,3956.53,2865.41,2865.41,31652.23,38600.28,22923.26,22923.26,-27.60%
Lot 1,Vendor G,4,9230.33,7568.87,7568.87,7568.87,30275.48,36921.32,30275.49,30275.49,0.00%
Lot 1,Vendor G,6,5969.98,4895.38,3466.13,3466.13,29372.3,35819.88,20796.76,20796.76,-29.20%
Lot 1,Vendor G,6,5969.98,4895.38,3466.13,3466.13,29372.3,35819.88,20796.76,20796.76,-29.20%
Lot 1,Vendor G,1,35362.38,30128.75,26928.0,26928.0,30128.75,35362.38,26928.0,26928.0,-10.60%
Lot 1,Vendor G,1,34309.81,29231.96,31135.5,31135.5,29231.96,34309.81,31135.5,31135.5,6.50%
Lot 1,Vendor G,6,5480.8,4494.26,3227.24,3227.24,26965.53,32884.79,19363.44,19363.44,-28.20%
Lot 1,Vendor G,6,5480.8,4494.26,3227.24,3227.24,26965.53,32884.79,19363.44,19363.44,-28.20%
Lot 1,Vendor G,16,2019.43,1655.94,384.95,384.95,26494.95,32310.91,6159.22,6159.22,-76.80%
Lot 1,Vendor G,4,7928.39,6501.28,3639.47,3639.47,26005.1,31713.54,14557.87,14557.87,-44.00%
Lot 1,Vendor G,6,5227.97,4286.94,3093.81,3093.81,25721.62,31367.82,18562.87,18562.87,-27.80%
Lot 1,Vendor G,6,5227.97,4286.94,3093.81,3093.81,25721.62,31367.82,18562.87,18562.87,-27.80%
Lot 1,Vendor G,4,7784.1,6382.96,3234.17,3234.17,25531.86,31136.41,12936.7,12936.7,-49.30%
Lot 1,Vendor G,2,15206.86,12956.24,13884.75,13884.75,25912.48,30413.71,27769.5,27769.5,7.20%
Lot 1,Vendor G,3,9937.33,8148.61,8148.61,8148.61,24445.84,29812.0,24445.84,24445.84,0.00%
Lot 1,Vendor G,3,9937.33,8148.61,8148.61,8148.61,24445.84,29812.0,24445.84,24445.84,0.00%
Lot 1,Vendor G,4,7378.41,6050.29,2677.58,2677.58,24201.17,29513.63,10710.33,10710.33,-55.70%
Lot 1,Vendor G,6,4825.03,3956.53,2865.41,2865.41,23739.17,28950.21,17192.44,17192.44,-27.60%
Lot 1,Vendor G,6,4825.03,3956.53,2865.41,2865.41,23739.17,28950.21,17192.44,17192.44,-27.60%
Lot 1,Vendor G,4,7170.74,5880.01,25245.0,25245.0,23520.03,28682.97,100980.0,100980.0,329.30%
Lot 1,Vendor G,4,7023.21,5759.03,5759.03,5759.03,23036.12,28092.83,23036.13,23036.13,0.00%
Lot 1,Vendor G,4,6993.67,5734.81,3384.03,3384.03,22939.25,27974.69,13536.12,13536.12,-41.00%
Lot 1,Vendor G,2,13743.95,11270.04,7996.5,7996.5,22540.08,27487.9,15993.0,15993.0,-29.00%
Lot 1,Vendor G,2,13699.87,11672.3,13884.75,13884.75,23344.58,27399.74,27769.5,27769.5,19.00%
Lot 1,Vendor G,4,6845.02,5612.91,14305.5,14305.5,22451.67,27380.09,57222.0,57222.0,154.90%
Lot 1,Vendor G,1,26381.08,21632.49,20196.0,20196.0,21632.49,26381.08,20196.0,20196.0,-6.60%
Lot 1,Vendor G,4,6525.17,5350.64,3264.32,3264.32,21402.55,26100.67,13057.29,13057.29,-39.00%
Lot 1,Vendor G,1,23982.09,19665.31,25245.0,25245.0,19665.31,23982.09,25245.0,25245.0,28.40%
Lot 1,Vendor G,4,5969.98,4895.38,3466.13,3466.13,19581.54,23879.92,13864.51,13864.51,-29.20%
Lot 1,Vendor G,4,5798.84,4755.05,8148.61,8148.61,19020.21,23195.37,32594.45,32594.45,71.40%
Lot 1,Vendor G,4,5634.37,4620.19,3419.5,3419.5,18480.75,22537.49,13678.0,13678.0,-26.00%
Lot 1,Vendor G,4,5480.8,4494.26,3227.24,3227.24,17977.02,21923.2,12908.96,12908.96,-28.20%
Lot 1,Vendor G,4,5399.22,4427.36,4427.36,4427.36,17709.45,21596.89,17709.45,17709.45,0.00%
Lot 1,Vendor G,8,2660.54,2181.64,4493.09,4493.09,17453.12,21284.3,35944.73,35944.73,106.00%
Lot 1,Vendor G,3,7023.21,5759.03,5759.03,5759.03,17277.09,21069.62,17277.1,17277.1,0.00%
Lot 1,Vendor G,3,7023.21,5759.03,5759.03,5759.03,17277.09,21069.62,17277.1,17277.1,0.00%
Lot 1,Vendor G,4,5227.97,4286.94,3093.81,3093.81,17147.74,20911.88,12375.25,12375.25,-27.80%
Lot 1,Vendor G,4,5140.54,4215.24,5759.03,5759.03,16860.97,20562.16,23036.13,23036.13,36.60%
Lot 1,Vendor G,30,673.2,552.02,575.59,575.59,16560.72,20196.0,17267.58,17267.58,4.30%
Lot 1,Vendor G,2,9937.33,8148.61,8148.61,8148.61,16297.22,19874.66,16297.22,16297.22,0.00%
Lot 1,Vendor G,4,4825.03,3956.53,2865.41,2865.41,15826.12,19300.14,11461.63,11461.63,-27.60%
Lot 1,Vendor G,3,5798.84,4755.05,8148.61,8148.61,14265.15,17396.52,24445.84,24445.84,71.40%
Lot 1,Vendor G,3,5798.84,4755.05,8148.61,8148.61,14265.15,17396.52,24445.84,24445.84,71.40%
Lot 1,Vendor G,3,5634.37,4620.19,3419.5,3419.5,13860.56,16903.12,10258.5,10258.5,-26.00%
Lot 1,Vendor G,3,5634.37,4620.19,3419.5,3419.5,13860.56,16903.12,10258.5,10258.5,-26.00%
Lot 1,Vendor G,3,5399.22,4427.36,4427.36,4427.36,13282.08,16197.67,13282.08,13282.08,0.00%
Lot 1,Vendor G,3,5399.22,4427.36,4427.36,4427.36,13282.08,16197.67,13282.08,13282.08,0.00%
Lot 1,Vendor G,6,2660.54,2181.64,4493.09,4493.09,13089.84,15963.22,26958.55,26958.55,106.00%
Lot 1,Vendor G,6,2660.54,2181.64,4493.09,4493.09,13089.84,15963.22,26958.55,26958.55,106.00%
Lot 1,Vendor G,3,5140.54,4215.24,5759.03,5759.03,12645.73,15421.62,17277.1,17277.1,36.60%
Lot 1,Vendor G,3,5140.54,4215.24,5759.03,5759.03,12645.73,15421.62,17277.1,17277.1,36.60%
Lot 1,Vendor G,2,7023.21,5759.03,5759.03,5759.03,11518.06,14046.42,11518.06,11518.06,0.00%
Lot 1,Vendor G,1,13743.95,11270.04,7996.5,7996.5,11270.04,13743.95,7996.5,7996.5,-29.00%
Lot 1,Vendor G,1,13743.95,11270.04,7996.5,7996.5,11270.04,13743.95,7996.5,7996.5,-29.00%
Lot 1,Vendor G,2,5798.84,4755.05,8148.61,8148.61,9510.1,11597.69,16297.22,16297.22,71.40%
Lot 1,Vendor G,2,5634.37,4620.19,3419.5,3419.5,9240.37,11268.75,6839.0,6839.0,-26.00%
Lot 1,Vendor G,2,5399.22,4427.36,4427.36,4427.36,8854.73,10798.45,8854.73,8854.73,0.00%
Lot 1,Vendor G,4,2660.54,2181.64,4493.09,4493.09,8726.56,10642.15,17972.36,17972.36,106.00%
Lot 1,Vendor G,2,5140.54,4215.24,5759.03,5759.03,8430.48,10281.08,11518.06,11518.06,36.60%
Lot 1,Vendor G,1,9937.33,8148.61,8148.61,8148.61,8148.61,9937.33,8148.61,8148.61,0.00%
Lot 1,Vendor G,1,9230.33,7568.87,7568.87,7568.87,7568.87,9230.33,7568.87,7568.87,0.00%
Lot 1,Vendor G,4,2019.43,1655.94,384.95,384.95,6623.73,8077.73,1539.8,1539.8,-76.80%
Lot 1,Vendor G,4,2019.43,1655.94,384.95,384.95,6623.73,8077.73,1539.8,1539.8,-76.80%
Lot 1,Vendor G,1,7928.39,6501.28,3639.47,3639.47,6501.28,7928.39,3639.47,3639.47,-44.00%
Lot 1,Vendor G,1,7784.1,6382.96,3234.17,3234.17,6382.96,7784.1,3234.17,3234.17,-49.30%
Lot 1,Vendor G,1,7378.41,6050.29,2677.58,2677.58,6050.29,7378.41,2677.58,2677.58,-55.70%
Lot 1,Vendor G,1,7199.95,5903.96,8148.61,8148.61,5903.96,7199.95,8148.61,8148.61,38.00%
Lot 1,Vendor G,1,7199.95,5903.96,8148.61,8148.61,5903.96,7199.95,8148.61,8148.61,38.00%
Lot 1,Vendor G,1,7170.74,5880.01,25245.0,25245.0,5880.01,7170.74,25245.0,25245.0,329.30%
Lot 1,Vendor G,1,7023.21,5759.03,5759.03,5759.03,5759.03,7023.21,5759.03,5759.03,0.00%
Lot 1,Vendor G,1,6993.67,5734.81,3384.03,3384.03,5734.81,6993.67,3384.03,3384.03,-41.00%
Lot 1,Vendor G,1,6845.02,5612.91,14305.5,14305.5,5612.91,6845.02,14305.5,14305.5,154.90%
Lot 1,Vendor G,1,6845.02,5612.91,14305.5,14305.5,5612.91,6845.02,14305.5,14305.5,154.90%
Lot 1,Vendor G,1,6525.17,5350.64,3264.32,3264.32,5350.64,6525.17,3264.32,3264.32,-39.00%
Lot 1,Vendor G,1,5969.98,4895.38,3466.13,3466.13,4895.38,5969.98,3466.13,3466.13,-29.20%
Lot 1,Vendor G,1,5798.84,4755.05,8148.61,8148.61,4755.05,5798.84,8148.61,8148.61,71.40%
Lot 1,Vendor G,1,5634.37,4620.19,3419.5,3419.5,4620.19,5634.37,3419.5,3419.5,-26.00%
Lot 1,Vendor G,1,5480.8,4494.26,3227.24,3227.24,4494.26,5480.8,3227.24,3227.24,-28.20%
Lot 1,Vendor G,1,5399.22,4427.36,4427.36,4427.36,4427.36,5399.22,4427.36,4427.36,0.00%
Lot 1,Vendor G,1,5227.97,4286.94,3093.81,3093.81,4286.94,5227.97,3093.81,3093.81,-27.80%
Lot 1,Vendor G,1,5140.54,4215.24,5759.03,5759.03,4215.24,5140.54,5759.03,5759.03,36.60%
Lot 1,Vendor G,1,4825.03,3956.53,2865.41,2865.41,3956.53,4825.03,2865.41,2865.41,-27.60%
Lot 1,Vendor G,1,4343.58,3561.73,5759.03,5759.03,3561.73,4343.58,5759.03,5759.03,61.70%
Lot 1,Vendor G,1,4343.58,3561.73,5759.03,5759.03,3561.73,4343.58,5759.03,5759.03,61.70%
Lot 1,Vendor G,1,4017.56,3294.4,7568.87,7568.87,3294.4,4017.56,7568.87,7568.87,129.70%
Lot 1,Vendor G,1,2660.54,2181.64,4493.09,4493.09,2181.64,2660.54,4493.09,4493.09,106.00%
Lot 1,Vendor G,1,2660.54,2181.64,4493.09,4493.09,2181.64,2660.54,4493.09,4493.09,106.00%
Lot 1,Vendor G,1,1918.49,1573.16,3639.47,3639.47,1573.16,1918.49,3639.47,3639.47,131.30%
Lot 1,Vendor G,1,1738.86,1425.86,3466.13,3466.13,1425.86,1738.86,3466.13,3466.13,143.10%
Lot 1,Vendor G,1,1653.78,1356.1,3384.03,3384.03,1356.1,1653.78,3384.03,3384.03,149.50%
Lot 1,Vendor G,1,1498.49,1228.77,3234.17,3234.17,1228.77,1498.49,3234.17,3234.17,163.20%
Lot 1,Vendor G,1,1491.31,1222.87,3227.24,3227.24,1222.87,1491.31,3227.24,3227.24,163.90%
Lot 1,Vendor G,1,1411.34,1157.3,3264.32,3264.32,1157.3,1411.34,3264.32,3264.32,182.10%
Lot 1,Vendor G,1,921.71,755.8,2677.58,2677.58,755.8,921.71,2677.58,2677.58,254.30%
Lot 1,Vendor G,1,848.14,695.47,3093.81,3093.81,695.47,848.14,3093.81,3093.81,344.80%
Lot 1,Vendor G,1,712.44,584.2,2865.41,2865.41,584.2,712.44,2865.41,2865.41,390.50%
Lot 1,Vendor G,2,27038.62,22171.67,26928.0,26928.0,44343.33,54077.23,53856.0,53856.0,21.50%
Lot 1,Vendor G,2,27038.62,22171.67,26928.0,26928.0,44343.33,54077.23,53856.0,53856.0,21.50%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,1,589.05,504.9,589.05,589.05,504.9,589.05,589.05,589.05,16.70%
Lot 1,Vendor G,2,589.05,504.9,589.05,589.05,1009.8,1178.1,1178.1,1178.1,16.70%
Lot 1,Vendor G,5,589.05,504.9,589.05,589.05,2524.5,2945.25,2945.25,2945.25,16.70%
Lot 1,Vendor G,3,589.05,504.9,589.05,589.05,1514.7,1767.15,1767.15,1767.15,16.70%
Lot 1,Vendor G,2,589.05,504.9,589.05,589.05,1009.8,1178.1,1178.1,1178.1,16.70%
Lot 1,Vendor G,3,589.05,504.9,589.05,589.05,1514.7,1767.15,1767.15,1767.15,16.70%
Lot 1,Vendor G,2,589.05,504.9,589.05,589.05,1009.8,1178.1,1178.1,1178.1,16.70%
Lot 1,Vendor G,3,589.05,504.9,589.05,589.05,1514.7,1767.15,1767.15,1767.15,16.70%
Lot 1,Vendor G,5,589.05,504.9,589.05,589.05,2524.5,2945.25,2945.25,2945.25,16.70%
Lot 1,Vendor G,4,589.05,504.9,589.05,589.05,2019.6,2356.2,2356.2,2356.2,16.70%
Lot 1,Vendor G,1,589.05,504.9,589.05,589.05,504.9,589.05,589.05,589.05,16.70%
Lot 1,Vendor G,1,589.05,504.9,589.05,589.05,504.9,589.05,589.05,589.05,16.70%
Lot 1,Vendor G,7,589.05,504.9,589.05,589.05,3534.3,4123.35,4123.35,4123.35,16.70%
Lot 1,Vendor G,8,589.05,504.9,589.05,589.05,4039.2,4712.4,4712.4,4712.4,16.70%
Lot 1,Vendor G,1,8671.35,4207.5,8553.54,8553.54,4207.5,8671.35,8553.54,8553.54,103.30%
Lot 1,Vendor G,2,55098.18,45020.25,55098.18,55098.18,90040.5,110196.36,110196.36,110196.36,22.40%
Lot 1,Vendor G,1,10976.48,4207.5,9801.99,9801.99,4207.5,10976.48,9801.99,9801.99,133.00%
Lot 1,Vendor G,2,56496.29,45441.0,56496.29,56496.29,90882.0,112992.58,112992.58,112992.58,24.30%
Lot 1,Vendor G,1,8671.35,4207.5,8553.54,8553.54,4207.5,8671.35,8553.54,8553.54,103.30%
Lot 1,Vendor G,2,55098.18,45020.25,55098.18,55098.18,90040.5,110196.36,110196.36,110196.36,22.40%
Lot 1,Vendor G,3,10976.48,4207.5,9801.99,9801.99,12622.5,32929.43,29405.98,29405.98,133.00%
Lot 1,Vendor G,2,56496.29,45441.0,56496.29,56496.29,90882.0,112992.58,112992.58,112992.58,24.30%
Lot 1,Vendor G,4,12500.66,8078.4,9669.88,9669.88,32313.6,50002.64,38679.51,38679.51,19.70%
Lot 1,Vendor G,4,13140.24,8078.4,9723.82,9723.82,32313.6,52560.97,38895.27,38895.27,20.40%
Lot 1,Vendor G,2,2803.15,1430.55,2803.15,2803.15,2861.1,5606.29,5606.29,5606.29,95.90%
Lot 1,Vendor G,4,8671.35,4207.5,8553.54,8553.54,16830.0,34685.42,34214.18,34214.18,103.30%
Lot 1,Vendor G,8,55098.18,45020.25,55098.18,55098.18,360162.0,440785.44,440785.44,440785.44,22.40%
Lot 1,Vendor G,6,10976.48,4207.5,9801.99,9801.99,25245.0,65858.85,58811.96,58811.96,133.00%
Lot 1,Vendor G,8,56496.29,45441.0,56496.29,56496.29,363528.0,451970.32,451970.32,451970.32,24.30%
Lot 1,Vendor G,4,12500.66,8078.4,9669.88,9669.88,32313.6,50002.64,38679.51,38679.51,19.70%
Lot 1,Vendor G,4,13140.24,8078.4,9723.82,9723.82,32313.6,52560.97,38895.27,38895.27,20.40%
Lot 1,Vendor G,2,2803.15,1430.55,2803.15,2803.15,2861.1,5606.29,5606.29,5606.29,95.90%
Lot 1,Vendor G,2,8671.35,4207.5,8553.54,8553.54,8415.0,17342.71,17107.09,17107.09,103.30%
Lot 1,Vendor G,4,55098.18,45020.25,55098.18,55098.18,180081.0,220392.72,220392.72,220392.72,22.40%
Lot 1,Vendor G,4,10976.48,4207.5,9801.99,9801.99,16830.0,43905.9,39207.98,39207.98,133.00%
Lot 1,Vendor G,4,56496.29,45441.0,56496.29,56496.29,181764.0,225985.16,225985.16,225985.16,24.30%
Lot 1,Vendor G,4,12500.66,8078.4,9669.88,9669.88,32313.6,50002.64,38679.51,38679.51,19.70%
Lot 1,Vendor G,4,13140.24,8078.4,9723.82,9723.82,32313.6,52560.97,38895.27,38895.27,20.40%
Lot 1,Vendor G,2,2803.15,1430.55,2803.15,2803.15,2861.1,5606.29,5606.29,5606.29,95.90%
Lot 1,Vendor G,1,8671.35,4207.5,8553.54,8553.54,4207.5,8671.35,8553.54,8553.54,103.30%
Lot 1,Vendor G,2,55098.18,45020.25,55098.18,55098.18,90040.5,110196.36,110196.36,110196.36,22.40%
Lot 1,Vendor G,2,10976.48,4207.5,9801.99,9801.99,8415.0,21952.95,19603.99,19603.99,133.00%
Lot 1,Vendor G,2,56496.29,45441.0,56496.29,56496.29,90882.0,112992.58,112992.58,112992.58,24.30%
Lot 1,Vendor G,2,12500.66,8078.4,9669.88,9669.88,16156.8,25001.32,19339.76,19339.76,19.70%
Lot 1,Vendor G,2,13140.24,8078.4,9723.82,9723.82,16156.8,26280.48,19447.64,19447.64,20.40%
Lot 1,Vendor G,1,2803.15,1430.55,2803.15,2803.15,1430.55,2803.15,2803.15,2803.15,95.90%
Lot 1,Vendor G,4,10976.48,4207.5,9801.99,9801.99,16830.0,43905.9,39207.98,39207.98,133.00%
Lot 1,Vendor G,8,12500.66,8078.4,9669.88,9669.88,64627.2,100005.27,77359.03,77359.03,19.70%
Lot 1,Vendor G,8,13140.24,8078.4,9723.82,9723.82,64627.2,105121.93,77790.55,77790.55,20.40%
Lot 1,Vendor G,4,2803.15,1430.55,2803.15,2803.15,5722.2,11212.58,11212.58,11212.58,95.90%
Lot 1,Vendor G,2,8671.35,4207.5,8553.54,8553.54,8415.0,17342.71,17107.09,17107.09,103.30%
Lot 1,Vendor G,4,55098.18,45020.25,55098.18,55098.18,180081.0,220392.72,220392.72,220392.72,22.40%
Lot 1,Vendor G,2,10976.48,4207.5,9801.99,9801.99,8415.0,21952.95,19603.99,19603.99,133.00%
Lot 1,Vendor G,4,56496.29,45441.0,56496.29,56496.29,181764.0,225985.16,225985.16,225985.16,24.30%
Lot 1,Vendor G,1,8671.35,4207.5,8553.54,8553.54,4207.5,8671.35,8553.54,8553.54,103.30%
Lot 1,Vendor G,2,55098.18,45020.25,55098.18,55098.18,90040.5,110196.36,110196.36,110196.36,22.40%
Lot 1,Vendor G,1,10976.48,4207.5,9801.99,9801.99,4207.5,10976.48,9801.99,9801.99,133.00%
Lot 1,Vendor G,2,56496.29,45441.0,56496.29,56496.29,90882.0,112992.58,112992.58,112992.58,24.30%
Lot 1,Vendor G,4,10976.48,4207.5,9801.99,9801.99,16830.0,43905.9,39207.98,39207.98,133.00%
Lot 1,Vendor G,8,56496.29,45441.0,56496.29,56496.29,363528.0,451970.32,451970.32,451970.32,24.30%
Lot 1,Vendor G,5,10976.48,4207.5,9801.99,9801.99,21037.5,54882.38,49009.97,49009.97,133.00%
Lot 1,Vendor G,10,56496.29,45441.0,56496.29,56496.29,454410.0,564962.9,564962.9,564962.9,24.30%
Lot 1,Vendor G,6,10976.48,4207.5,9801.99,9801.99,25245.0,65858.85,58811.96,58811.96,133.00%
Lot 1,Vendor G,3,56496.29,45441.0,56496.29,56496.29,136323.0,169488.87,169488.87,169488.87,24.30%
Lot 1,Vendor G,2,50894.62,40392.0,50894.62,50894.62,80784.0,101789.24,101789.24,101789.24,26.00%
Lot 1,Vendor G,7,49792.28,40392.0,49792.28,49792.28,282744.0,348545.95,348545.95,348545.95,23.30%
Lot 1,Vendor G,1,10976.48,4207.5,9801.99,9801.99,4207.5,10976.48,9801.99,9801.99,133.00%
Lot 1,Vendor G,2,56496.29,45441.0,56496.29,56496.29,90882.0,112992.58,112992.58,112992.58,24.30%
Lot 1,Vendor G,10,10976.48,4207.5,9801.99,9801.99,42075.0,109764.76,98019.94,98019.94,133.00%
Lot 1,Vendor G,20,56496.29,45441.0,56496.29,56496.29,908820.0,1129925.81,1129925.81,1129925.81,24.30%
Lot 1,Vendor G,11,10976.48,4207.5,9801.99,9801.99,46282.5,120741.23,107821.93,107821.93,133.00%
Lot 1,Vendor G,20,56496.29,45441.0,56496.29,56496.29,908820.0,1129925.81,1129925.81,1129925.81,24.30%
Lot 1,Vendor G,1,50894.62,40392.0,50894.62,50894.62,40392.0,50894.62,50894.62,50894.62,26.00%
Lot 1,Vendor G,1,49792.28,40392.0,49792.28,49792.28,40392.0,49792.28,49792.28,49792.28,23.30%
Lot 1,Vendor G,1,10218.44,8162.55,10218.44,10218.44,8162.55,10218.44,10218.44,10218.44,25.20%
Lot 1,Vendor G,1,7405.2,5890.5,7405.2,7405.2,5890.5,7405.2,7405.2,7405.2,25.70%
Lot 1,Vendor G,3,8369.93,6732.0,7741.8,7741.8,20196.0,25109.79,23225.4,23225.4,15.00%
Lot 1,Vendor G,2,40275.06,32145.3,40275.06,40275.06,64290.6,80550.11,80550.11,80550.11,25.30%
Lot 1,Vendor G,2,159.88,126.23,159.88,159.88,252.45,319.77,319.77,319.77,26.70%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,3,10218.44,8162.55,10218.44,10218.44,24487.65,30655.33,30655.33,30655.33,25.20%
Lot 1,Vendor G,3,7405.2,5890.5,7405.2,7405.2,17671.5,22215.6,22215.6,22215.6,25.70%
Lot 1,Vendor G,9,8369.93,6732.0,7741.8,7741.8,60588.0,75329.36,69676.2,69676.2,15.00%
Lot 1,Vendor G,2,33574.53,15062.85,31303.8,31303.8,30125.7,67149.06,62607.6,62607.6,107.80%
Lot 1,Vendor G,4,40275.06,32145.3,40275.06,40275.06,128581.2,161100.23,161100.23,161100.23,25.30%
Lot 1,Vendor G,3,3804.31,3029.4,3140.48,3140.48,9088.2,11412.94,9421.43,9421.43,3.70%
Lot 1,Vendor G,6,159.88,126.23,159.88,159.88,757.35,959.31,959.31,959.31,26.70%
Lot 1,Vendor G,6,10218.44,8162.55,10218.44,10218.44,48975.3,61310.66,61310.66,61310.66,25.20%
Lot 1,Vendor G,6,7405.2,5890.5,7405.2,7405.2,35343.0,44431.2,44431.2,44431.2,25.70%
Lot 1,Vendor G,18,8369.93,6732.0,7741.8,7741.8,121176.0,150658.73,139352.4,139352.4,15.00%
Lot 1,Vendor G,12,40275.06,32145.3,40275.06,40275.06,385743.6,483300.68,483300.68,483300.68,25.30%
Lot 1,Vendor G,2,159.88,126.23,159.88,159.88,252.45,319.77,319.77,319.77,26.70%
Lot 1,Vendor G,6,3804.31,3029.4,3140.48,3140.48,18176.4,22825.87,18842.87,18842.87,3.70%
Lot 1,Vendor G,6,159.88,126.23,159.88,159.88,757.35,959.31,959.31,959.31,26.70%
Lot 1,Vendor G,4,159.88,126.23,159.88,159.88,504.9,639.54,639.54,639.54,26.70%
Lot 1,Vendor G,3,10218.44,8162.55,10218.44,10218.44,24487.65,30655.33,30655.33,30655.33,25.20%
Lot 1,Vendor G,2,69207.75,49227.75,60957.9,60957.9,98455.5,138415.51,121915.8,121915.8,23.80%
Lot 1,Vendor G,3,7405.2,5890.5,7405.2,7405.2,17671.5,22215.6,22215.6,22215.6,25.70%
Lot 1,Vendor G,3,8369.93,6732.0,7741.8,7741.8,20196.0,25109.79,23225.4,23225.4,15.00%
Lot 1,Vendor G,2,3804.31,3029.4,3140.48,3140.48,6058.8,7608.62,6280.96,6280.96,3.70%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,1,10218.44,8162.55,10218.44,10218.44,8162.55,10218.44,10218.44,10218.44,25.20%
Lot 1,Vendor G,2,69207.75,49227.75,60957.9,60957.9,98455.5,138415.51,121915.8,121915.8,23.80%
Lot 1,Vendor G,1,56054.68,40392.0,44072.7,44072.7,40392.0,56054.68,44072.7,44072.7,9.10%
Lot 1,Vendor G,1,7405.2,5890.5,7405.2,7405.2,5890.5,7405.2,7405.2,7405.2,25.70%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,3,10218.44,8162.55,10218.44,10218.44,24487.65,30655.33,30655.33,30655.33,25.20%
Lot 1,Vendor G,2,69207.75,49227.75,60957.9,60957.9,98455.5,138415.51,121915.8,121915.8,23.80%
Lot 1,Vendor G,3,7405.2,5890.5,7405.2,7405.2,17671.5,22215.6,22215.6,22215.6,25.70%
Lot 1,Vendor G,3,8369.93,6732.0,7741.8,7741.8,20196.0,25109.79,23225.4,23225.4,15.00%
Lot 1,Vendor G,2,3804.31,3029.4,3140.48,3140.48,6058.8,7608.62,6280.96,6280.96,3.70%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,1,10218.44,8162.55,10218.44,10218.44,8162.55,10218.44,10218.44,10218.44,25.20%
Lot 1,Vendor G,1,7405.2,5890.5,7405.2,7405.2,5890.5,7405.2,7405.2,7405.2,25.70%
Lot 1,Vendor G,1,3804.31,3029.4,3140.48,3140.48,3029.4,3804.31,3140.48,3140.48,3.70%
Lot 1,Vendor G,3,10218.44,8162.55,10218.44,10218.44,24487.65,30655.33,30655.33,30655.33,25.20%
Lot 1,Vendor G,3,7405.2,5890.5,7405.2,7405.2,17671.5,22215.6,22215.6,22215.6,25.70%
Lot 1,Vendor G,9,8369.93,6732.0,7741.8,7741.8,60588.0,75329.36,69676.2,69676.2,15.00%
Lot 1,Vendor G,4,40275.06,32145.3,40275.06,40275.06,128581.2,161100.23,161100.23,161100.23,25.30%
Lot 1,Vendor G,3,3804.31,3029.4,3140.48,3140.48,9088.2,11412.94,9421.43,9421.43,3.70%
Lot 1,Vendor G,6,159.88,126.23,159.88,159.88,757.35,959.31,959.31,959.31,26.70%
Lot 1,Vendor G,5,10218.44,8162.55,10218.44,10218.44,40812.75,51092.22,51092.22,51092.22,25.20%
Lot 1,Vendor G,5,7405.2,5890.5,7405.2,7405.2,29452.5,37026.0,37026.0,37026.0,25.70%
Lot 1,Vendor G,15,8369.93,6732.0,7741.8,7741.8,100980.0,125548.94,116127.0,116127.0,15.00%
Lot 1,Vendor G,10,40275.06,32145.3,40275.06,40275.06,321453.0,402750.57,402750.57,402750.57,25.30%
Lot 1,Vendor G,5,3804.31,3029.4,3140.48,3140.48,15147.0,19021.56,15702.39,15702.39,3.70%
Lot 1,Vendor G,10,159.88,126.23,159.88,159.88,1262.25,1598.85,1598.85,1598.85,26.70%
Lot 1,Vendor G,1,10218.44,8162.55,10218.44,10218.44,8162.55,10218.44,10218.44,10218.44,25.20%
Lot 1,Vendor G,1,7405.2,5890.5,7405.2,7405.2,5890.5,7405.2,7405.2,7405.2,25.70%
Lot 1,Vendor G,3,8369.93,6732.0,7741.8,7741.8,20196.0,25109.79,23225.4,23225.4,15.00%
Lot 1,Vendor G,2,40275.06,32145.3,40275.06,40275.06,64290.6,80550.11,80550.11,80550.11,25.30%
